Start Date,End Date,Minimum Value,Maximum Value,Absolute Maximum Value,Range,25th Percentile,50th Percentile (Median),75th Percentile,Confidence Score (50% Threshold),Confidence Score (80% Threshold),[AI] Max Probability,[AI] Percent Above 50%,[AI] Percent Above 80%
2023-12-24,2024-02-06,-0.16748431,0.46465188,0.46465188,0.6321362,-0.011819801293313503,0.0096595985814929,0.049477579072117805,0.14433822,0.1492571,91.98789596557616,6.017922964296498,1.548234194919358
2024-06-21,2024-06-29,-0.09955364,0.04678339,0.09955364,0.14633703,-0.004038294777274132,-0.0011625818442553282,0.002304361667484045,nan,nan,49.16713535785675,0.0,0.0
2023-12-12,2023-12-20,-0.21465616,0.38269556,0.38269556,0.59735173,-0.03937560319900513,-0.03084954246878624,-0.02143573760986328,-0.015006593,0.1434213,92.52732396125792,7.109559114444464,1.8586115746076528
2024-01-13,2024-01-17,-0.09743333,0.43225887,0.43225887,0.5296922,0.017504706978797913,0.023436736315488815,0.03198413550853729,0.16962111,0.16493475,82.64689445495605,3.528223041120692,0.1679072064081345
2024-01-17,2024-01-29,-0.06942716,0.0714511,0.0714511,0.14087826,-0.008277080953121185,-0.0025667138397693634,0.005388639634475112,-0.14597528,nan,51.31120681762695,0.1251688922724498,0.0
2024-04-22,2024-05-04,-0.024738032,0.08393994,0.08393994,0.10867797,0.023098756559193134,0.026301356963813305,0.030184748582541943,0.2978767,nan,50.68764090538025,0.0736718759063961,0.0
2024-01-29,2024-02-06,-0.04714921,0.065662056,0.065662056,0.11281127,-0.005399412475526333,-0.0012040334986522794,0.003796301782131195,nan,nan,49.07681047916412,0.0,0.0
2024-05-04,2024-05-12,-0.04880669,0.07006304,0.07006304,0.11886973,-0.004345507826656103,-0.001269927597604692,0.0026727403746917844,nan,nan,49.14031028747559,0.0,0.0
2024-07-15,2024-09-01,-0.21473384,0.34580234,0.34580234,0.56053615,-0.06292204558849335,-0.05571386590600014,-0.04518665000796318,-0.124008864,0.20470285,92.3656404018402,7.314424494752364,1.369069303495533
2024-03-01,2024-03-05,-0.0489086,0.054360747,0.054360747,0.103269346,-0.005018299445509911,-0.0011210842058062553,0.0038100199308246374,nan,nan,48.95566403865814,0.0,0.0
2024-07-27,2024-09-01,-0.2419837,0.33860645,0.33860645,0.5805901,-0.06442994624376297,-0.0534837506711483,-0.04120785929262638,-0.16874306,-0.040758714,90.88885188102722,9.911080909983214,2.200152167221322
2024-03-25,2024-04-06,-0.06181838,0.043015424,0.06181838,0.104833804,-0.0033776722848415375,-0.000611431838478893,0.0022779101273044944,nan,nan,49.2216557264328,0.0,0.0
2024-05-16,2024-05-28,-0.055687852,0.104412496,0.104412496,0.16010034,-0.0062970914877951145,-0.0018000270356424153,0.004147187573835254,0.06374467,nan,61.44982576370239,3.083456504509136,0.0
2024-03-13,2024-03-17,-0.13971269,0.18648122,0.18648122,0.32619393,-0.03129966929554939,-0.025814134627580643,-0.021418346092104912,-0.18810102,0.0651701,89.32132720947266,5.268668808876439,0.6654353537850284
2024-06-29,2024-07-03,-0.043541,0.03845333,0.043541,0.081994325,-0.0024354924680665135,-0.0002826298004947603,0.0020564154256135225,0.05305808,nan,55.93097805976868,0.7302056984679999,0.0
2024-01-17,2024-02-06,-0.048488148,0.121888705,0.121888705,0.17037685,0.013042332604527473,0.021674104034900665,0.036335122771561146,0.08841407,nan,50.714111328125,0.0749870258728101,0.0
2024-08-20,2024-09-01,-0.3261935,0.3649172,0.3649172,0.69111073,-0.06679504364728928,-0.05038260668516159,-0.0336814746260643,-0.16410102,-0.004448348,91.74255132675172,8.431566010628169,2.121133440653615
2024-01-25,2024-02-06,-0.054128513,0.07043271,0.07043271,0.12456122,-0.007846745662391186,-0.0026457348139956594,0.004848635755479336,nan,nan,49.04175698757172,0.0,0.0
