Start Date,End Date,Minimum Value,Maximum Value,Absolute Maximum Value,Range,25th Percentile,50th Percentile (Median),75th Percentile,Normalized Displacement (50% Threshold),Normalized Displacement (80% Threshold),[AI] Max Probability,[AI] Percent Above 50%,[AI] Percent Above 80%,Accuracy (50% Threshold),Recall (50% Threshold),Precision (50% Threshold),Accuracy (80% Threshold),Recall (80% Threshold),Precision (80% Threshold)
2024-08-02,2024-12-12,-0.24393502,0.8575255,0.8575255,1.1014606,0.004108670516870916,0.022481116466224194,0.048029739409685135,0.009063225,nan,71.30454778671265,1.5840151131757283,0.0,0.7572800569711337,0.025434979001013745,0.38383286502237485,0.7609602669203113,0.0,nan
2024-07-21,2024-10-09,-0.18029949,0.870486,0.870486,1.0507855,0.026115640066564083,0.055774422362446785,0.07890801131725311,0.0070574386,nan,77.47405767440796,3.053823101292919,0.0,0.7653292233924137,0.05271649891484131,0.3939145843614015,0.771808545252162,0.0,nan
2024-10-01,2024-12-12,-0.08921452,0.1374377,0.1374377,0.22665222,-0.007478813640773296,0.009225069545209408,0.03575648367404938,0.050399885,nan,57.50887989997864,1.4135824866956943,0.0,0.7582275723490346,0.020962010964744197,0.35233349538162373,0.7624023480450367,0.0,nan
2024-05-18,2024-10-01,-0.1337714,0.9073852,0.9073852,1.0411565,0.023355835117399693,0.029654014855623245,0.0507037416100502,0.1299415,0.22097243,96.89099192619324,7.636142126357615,3.059953067567474,0.7660175962011034,0.14517828036812302,0.42228094348858713,0.7743671389906066,0.060959077012257265,0.44248388191381066
2024-07-21,2024-08-02,-0.21251999,0.20234011,0.21251999,0.4148601,0.002889235969632864,0.009463134221732616,0.016295935958623886,0.08272966,nan,67.61821508407593,1.7863173216885009,0.0,0.7714643377001456,0.03423335014333938,0.4334113045478948,0.7738433085024403,0.0,nan
2024-08-26,2024-12-24,-0.1873276,0.93104035,0.93104035,1.1183679,0.0013482171343639493,0.025126874446868896,0.04536226578056812,0.01782289,0.027686244,96.2164342403412,3.544731657852238,1.1387171336777162,0.7679921882201911,0.062381608272750216,0.39522451888809695,0.7745686962043901,0.02345638471572303,0.46261093787479013
2024-08-02,2024-12-20,-0.23667155,0.89786655,0.89786655,1.134538,-0.005839551100507379,0.01033055316656828,0.022683849558234215,0.011670142,nan,79.51816320419312,3.5123956724357632,0.0,0.7520338002350718,0.056183830606352264,0.3835593936265077,0.7602135098735129,0.0,nan
2024-07-21,2024-08-10,-0.1858924,0.21175058,0.21175058,0.39764297,0.006611979566514492,0.01427554152905941,0.020677221938967705,0.04111746,nan,69.76723074913025,2.198886891000942,0.0,0.7490322801609727,0.03679911317421277,0.41364754992056324,0.7528298655706824,0.0,nan
2024-08-14,2024-10-09,-0.20204929,0.87405634,0.87405634,1.0761056,0.005800062324851751,0.019399660639464855,0.04169422760605812,0.030479323,nan,69.37490701675415,3.833692588733432,0.0,0.7507238134629304,0.06413617226426929,0.4048203603167468,0.7580216030479705,0.0,nan
2024-08-10,2024-10-17,-0.21846862,0.8557386,0.8557386,1.0742072,0.008292822167277336,0.04620491713285446,0.0903056189417839,0.019661412,nan,66.89621806144714,1.9102219052551443,0.0,0.7568126696269127,0.02692339863657818,0.33380865957998446,0.7631619164055934,0.0,nan
